metric,mean,std,mode,alpha,delay_intensity,target_fraction,runs,run_mode,training_mean_reward,training_reward_history
mean_reward,0.0,0.0,no_rl,0.05,500,0.0,10,no_rl,,
epsilon,0.0,0.0,no_rl,0.05,500,0.0,10,no_rl,,
REV,0.028500000000000004,0.026216689623497755,no_cost,0.05,500,0.0,10,no_cost,0.013567460317460317,"[0.0, 0.0033333333333333335, 0.013888888888888888, 0.015, 0.014333333333333333, 0.021388888888888888, 0.019761904761904762, 0.020833333333333332]"
attacker_blocks,17.1,15.730013774098653,no_cost,0.05,500,0.0,10,no_cost,0.013567460317460317,"[0.0, 0.0033333333333333335, 0.013888888888888888, 0.015, 0.014333333333333333, 0.021388888888888888, 0.019761904761904762, 0.020833333333333332]"
total_blocks,600.0,0.0,no_cost,0.05,500,0.0,10,no_cost,0.013567460317460317,"[0.0, 0.0033333333333333335, 0.013888888888888888, 0.015, 0.014333333333333333, 0.021388888888888888, 0.019761904761904762, 0.020833333333333332]"
fork_rate,0.0,0.0,no_cost,0.05,500,0.0,10,no_cost,0.013567460317460317,"[0.0, 0.0033333333333333335, 0.013888888888888888, 0.015, 0.014333333333333333, 0.021388888888888888, 0.019761904761904762, 0.020833333333333332]"
orphan_blocks,565.4,4.005551702879947,no_cost,0.05,500,0.0,10,no_cost,0.013567460317460317,"[0.0, 0.0033333333333333335, 0.013888888888888888, 0.015, 0.014333333333333333, 0.021388888888888888, 0.019761904761904762, 0.020833333333333332]"
delay_usage_freq,0.07466666666666666,0.012541289830686631,no_cost,0.05,500,0.0,10,no_cost,0.013567460317460317,"[0.0, 0.0033333333333333335, 0.013888888888888888, 0.015, 0.014333333333333333, 0.021388888888888888, 0.019761904761904762, 0.020833333333333332]"
delay_cost,281228.4460365544,42002.83905001102,no_cost,0.05,500,0.0,10,no_cost,0.013567460317460317,"[0.0, 0.0033333333333333335, 0.013888888888888888, 0.015, 0.014333333333333333, 0.021388888888888888, 0.019761904761904762, 0.020833333333333332]"
mean_reward,0.02974663213964685,0.0030239571427955188,no_cost,0.05,500,0.0,10,no_cost,0.013567460317460317,"[0.0, 0.0033333333333333335, 0.013888888888888888, 0.015, 0.014333333333333333, 0.021388888888888888, 0.019761904761904762, 0.020833333333333332]"
epsilon,0.05,0.0,no_cost,0.05,500,0.0,10,no_cost,0.013567460317460317,"[0.0, 0.0033333333333333335, 0.013888888888888888, 0.015, 0.014333333333333333, 0.021388888888888888, 0.019761904761904762, 0.020833333333333332]"
REV,0.0125,0.011580368658708796,A,0.05,500,0.5,10,A,,
