metric,mean,std,mode,alpha,delay_intensity,target_fraction,n_nodes,asymmetric_delay,partition_prob,propagation_variance,runs,run_mode,training_mean_reward,training_reward_history
delay_cost,359857.3851951641,14672.18249464157,C,0.5,0,0.0,100,True,0.2,0.5,5,C,-0.16730378054192874,"[-0.17125058431077808, -0.1774301204850701, -0.15901248773927068, -0.17291210958897382, -0.17244408983405507, -0.16268352898034094, -0.1652858487809035, -0.1574114746160377]"
mean_reward,-0.16135888976837517,0.003195783254556536,C,0.5,0,0.0,100,True,0.2,0.5,5,C,-0.16730378054192874,"[-0.17125058431077808, -0.1774301204850701, -0.15901248773927068, -0.17291210958897382, -0.17244408983405507, -0.16268352898034094, -0.1652858487809035, -0.1574114746160377]"
epsilon,0.05,0.0,C,0.5,0,0.0,100,True,0.2,0.5,5,C,-0.16730378054192874,"[-0.17125058431077808, -0.1774301204850701, -0.15901248773927068, -0.17291210958897382, -0.17244408983405507, -0.16268352898034094, -0.1652858487809035, -0.1574114746160377]"
REV,0.475,0.01907587190376598,A,0.5,1000,0.0,100,True,0.2,0.5,5,A,,
attacker_blocks,285.0,11.445523142259598,A,0.5,1000,0.0,100,True,0.2,0.5,5,A,,
total_blocks,600.0,0.0,A,0.5,1000,0.0,100,True,0.2,0.5,5,A,,
fork_rate,0.0,0.0,A,0.5,1000,0.0,100,True,0.2,0.5,5,A,,
orphan_blocks,313.0,12.469963913339926,A,0.5,1000,0.0,100,True,0.2,0.5,5,A,,
delay_usage_freq,0.0,0.0,A,0.5,1000,0.0,100,True,0.2,0.5,5,A,,
delay_cost,0.0,0.0,A,0.5,1000,0.0,100,True,0.2,0.5,5,A,,
mean_reward,0.0,0.0,A,0.5,1000,0.0,100,True,0.2,0.5,5,A,,
epsilon,0.0,0.0,A,0.5,1000,0.0,100,True,0.2,0.5,5,A,,
REV,0.17566666666666667,0.015027752105133137,C,0.5,1000,0.0,100,True,0.2,0.5,5,C,-1.2175415242781495,"[-1.3811946207769248, -1.364960088323689, -1.2815410894096542, -1.2415908860564486, -1.1892820619409776, -1.1165705511177801, -1.0918170801574867, -1.0733758164422351]"
attacker_blocks,105.4,9.016651263079881,C,0.5,1000,0.0,100,True,0.2,0.5,5,C,-1.2175415242781495,"[-1.3811946207769248, -1.364960088323689, -1.2815410894096542, -1.2415908860564486, -1.1892820619409776, -1.1165705511177801, -1.0918170801574867, -1.0733758164422351]"
total_blocks,600.0,0.0,C,0.5,1000,0.0,100,True,0.2,0.5,5,C,-1.2175415242781495,"[-1.3811946207769248, -1.364960088323689, -1.2815410894096542, -1.2415908860564486, -1.1892820619409776, -1.1165705511177801, -1.0918170801574867, -1.0733758164422351]"
fork_rate,0.0,0.0,C,0.5,1000,0.0,100,True,0.2,0.5,5,C,-1.2175415242781495,"[-1.3811946207769248, -1.364960088323689, -1.2815410894096542, -1.2415908860564486, -1.1892820619409776, -1.1165705511177801, -1.0918170801574867, -1.0733758164422351]"
orphan_blocks,493.6,9.016651263079881,C,0.5,1000,0.0,100,True,0.2,0.5,5,C,-1.2175415242781495,"[-1.3811946207769248, -1.364960088323689, -1.2815410894096542, -1.2415908860564486, -1.1892820619409776, -1.1165705511177801, -1.0918170801574867, -1.0733758164422351]"
delay_usage_freq,0.538,0.11687124919709248,C,0.5,1000,0.0,100,True,0.2,0.5,5,C,-1.2175415242781495,"[-1.3811946207769248, -1.364960088323689, -1.2815410894096542, -1.2415908860564486, -1.1892820619409776, -1.1165705511177801, -1.0918170801574867, -1.0733758164422351]"
delay_cost,763346.3973499897,148082.8345765571,C,0.5,1000,0.0,100,True,0.2,0.5,5,C,-1.2175415242781495,"[-1.3811946207769248, -1.364960088323689, -1.2815410894096542, -1.2415908860564486, -1.1892820619409776, -1.1165705511177801, -1.0918170801574867, -1.0733758164422351]"
mean_reward,-0.9895873847982791,0.02673863807426469,C,0.5,1000,0.0,100,True,0.2,0.5,5,C,-1.2175415242781495,"[-1.3811946207769248, -1.364960088323689, -1.2815410894096542, -1.2415908860564486, -1.1892820619409776, -1.1165705511177801, -1.0918170801574867, -1.0733758164422351]"
epsilon,0.05,0.0,C,0.5,1000,0.0,100,True,0.2,0.5,5,C,-1.2175415242781495,"[-1.3811946207769248, -1.364960088323689, -1.2815410894096542, -1.2415908860564486, -1.1892820619409776, -1.1165705511177801, -1.0918170801574867, -1.0733758164422351]"
